authors	date	title	journal	type	volume	issue	pages	doi	id	attachment	attachmentId	corpusId	alternativeDoi	alternativeDoiUrl	zenodoResponseCorpusId
Johnson | McLeod | Burns | Arseneault | Frasier | Broders | Boyles	2015-5-5	Population Genetic Structure Within and among Seasonal Site Types in the Little Brown Bat (Myotis lucifugus) and the Northern Long-Eared Bat (M. septentrionalis)	PLOS ONE	journalArticle	10	5	e0126309	10.1371/journal.pone.0126309	https://www.zotero.org/groups/bat_literature_project/items/PEGSTIR2	https://api.zotero.org/groups/5435545/items/22IDTEJ7	hash://md5/7b951c29003665dd19da8a42b31cb88b	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13447984	https://doi.org/10.5281/zenodo.13447984	hash://md5/227956d1913ee55e460af32b7a18de13
Borrero-H | Hernandez-Camacho	1957	Informe Preliminar Sobre Aves y Mamiferas. de Santander, Colombia	Anales de la Sociedad de Biologia de Bogota	journalArticle	7		197-230		https://www.zotero.org/groups/bat_literature_project/items/3VU5D9TN	https://api.zotero.org/groups/5435545/items/22JWAGZL	hash://md5/5a1b9d2453a4c96a2f7fa76b447c7392	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13415218	https://doi.org/10.5281/zenodo.13415218	hash://md5/227956d1913ee55e460af32b7a18de13
López-Baucells | Torrent | Rocha | E.D. Bobrowiec | M. Palmeirim | F.J. Meyer	01/2019	Stronger together: Combining automated classifiers with manual post-validation optimizes the workload vs reliability trade-off of species identification in bat acoustic surveys	Ecological Informatics	journalArticle	49		45-53	10.1016/j.ecoinf.2018.11.004	https://www.zotero.org/groups/bat_literature_project/items/EJWG2E6W	https://api.zotero.org/groups/5435545/items/22MPJU2S	hash://md5/ddc5881191d8998b86e075d0cc8bec7f	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13452238	https://doi.org/10.5281/zenodo.13452238	hash://md5/227956d1913ee55e460af32b7a18de13
Shilton | Latch | Mckeown | Pert | Westcott	2008	Landscape-scale redistribution of a highly mobile threatened species, Pteropus conspicillatus (Chiroptera, Pteropodidae), in response to Tropical Cyclone Larry	Austral Ecology	journalArticle	33	4	549-561	10.1111/j.1442-9993.2008.01910.x	https://www.zotero.org/groups/bat_literature_project/items/HAXEIFHZ	https://api.zotero.org/groups/5435545/items/22Q85H7Z	hash://md5/652dbbd6ca5dac1677b286ec29a8be77	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13534910	https://doi.org/10.5281/zenodo.13534910	hash://md5/227956d1913ee55e460af32b7a18de13
Nogales | Guerrero-Campos | Boulesteix | Taquet | Beierkuhnlein | Campion | Fajardo | Zurita | Arechavaleta | García | Weiser | Medina	2022-11-11	The fate of terrestrial biodiversity during an oceanic island volcanic eruption	Scientific Reports	journalArticle	12	1	19344	10.1038/s41598-022-22863-0	https://www.zotero.org/groups/bat_literature_project/items/A6ETWZ9W	https://api.zotero.org/groups/5435545/items/22RVEPE2	hash://md5/6f11f1253b4fd1d13d4e6cfb73e3b295	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13440157	https://doi.org/10.5281/zenodo.13440157	hash://md5/227956d1913ee55e460af32b7a18de13
Wilkinson | South	2002	Life BlackwellScience,Ltd history, ecology and longevity in bats	Aging Cell	journalArticle	1		124-131		https://www.zotero.org/groups/bat_literature_project/items/698VRT7C	https://api.zotero.org/groups/5435545/items/22T8MIJS	hash://md5/45112c4103554ef86e666479a6eb7d56	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13508902	https://doi.org/10.5281/zenodo.13508902	hash://md5/227956d1913ee55e460af32b7a18de13
Lausen | Barclay	2005	Pipistrellus nanus.  (Mammalian Species)	MAMMALIAN SPECIES	journalArticle		784	1-7		https://www.zotero.org/groups/bat_literature_project/items/82SFYWYQ	https://api.zotero.org/groups/5435545/items/22TI6AID	hash://md5/cfe3ba004c30f50a4bba361a588953d3	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13449189	https://doi.org/10.5281/zenodo.13449189	hash://md5/227956d1913ee55e460af32b7a18de13
Jargalsaikhan | Ariunbold | Dalannast | Purevee | Paek | Tsagaan | Ganbold	09/2022	Molecular phylogenetic analysis of bats in the family Vespertilionidae in Mongolia	Journal of Asia-Pacific Biodiversity	journalArticle	15	3	329-335	10.1016/j.japb.2022.04.006	https://www.zotero.org/groups/bat_literature_project/items/ZIWGFQJR	https://api.zotero.org/groups/5435545/items/22UR2HSV	hash://md5/bab2545e2be186cc6a0ec9254e544ea2	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13450959	https://doi.org/10.5281/zenodo.13450959	hash://md5/227956d1913ee55e460af32b7a18de13
Salari | Kotsakis	2017	Late Pleistocene bat assemblage with Eptesicus nilssonii from Grotta del Fossellone (southern Latium, central Italy)	Alpine and Mediterranean Quarterly	journalArticle	30	2	125-136		https://www.zotero.org/groups/bat_literature_project/items/X5X64TQU	https://api.zotero.org/groups/5435545/items/22W3UJHB	hash://md5/5d0cc87cb81f86d7f05252c9090e5037	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18036997	https://doi.org/10.5281/zenodo.18036997	hash://md5/227956d1913ee55e460af32b7a18de13
 | Rebrov	2018-09-25	The pond bat, Myotis dasycneme, in the fauna of Luhansk region	Theriologia Ukrainica	journalArticle	2018	16	173-174	10.15407/pts2018.16.173	https://www.zotero.org/groups/bat_literature_project/items/NN9BD2I2	https://api.zotero.org/groups/5435545/items/22W59RDB	hash://md5/2289191e79ae5884cec16927e077bbb2	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13438616	https://doi.org/10.5281/zenodo.13438616	hash://md5/227956d1913ee55e460af32b7a18de13
Lanza	01/1970	THE BACULUM OF PTEROPUS AND ITS SIGNIFICANCE FOR THE PHYLOGENESIS OF THE GENUS (MAMMALIA, MEGACHIROPTERA): PUBBLICAZIONI DEL CENTRO DI STUDIO SULLA FAUNISTICA E LA ECOLOGIA DELL'AFRICA ORIENTALE DEL C.N.R.: XLI	Monitore Zoologico Italiano. Supplemento	journalArticle	3	1	37-68	10.1080/03749444.1970.10736760	https://www.zotero.org/groups/bat_literature_project/items/7KH4KFQ4	https://api.zotero.org/groups/5435545/items/22W9BENY	hash://md5/c495feceeff6049827d2cf76372786e9	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13448802	https://doi.org/10.5281/zenodo.13448802	hash://md5/227956d1913ee55e460af32b7a18de13
Müller | Goodman | Peichl	2007	Cone Photoreceptor Diversity in the Retinas of Fruit Bats (Megachiroptera)	Brain, Behavior and Evolution	journalArticle	70	2	90-104	10.1159/000102971	https://www.zotero.org/groups/bat_literature_project/items/C8DXZLJ9	https://api.zotero.org/groups/5435545/items/233ZNKKC	hash://md5/5c5aff97713845b44d31f834ec3a8451	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13529663	https://doi.org/10.5281/zenodo.13529663	hash://md5/227956d1913ee55e460af32b7a18de13
Miranda | Azevedo-Barros | Passos	12/2007	First record of Histiotus laephotis Thomas (Chiroptera, Vespertilionidae) from Brazil	Revista Brasileira de Zoologia	journalArticle	24	4	1188-1191	10.1590/S0101-81752007000400040	https://www.zotero.org/groups/bat_literature_project/items/AFWUBZT9	https://api.zotero.org/groups/5435545/items/235AX7R8	hash://md5/632fccbc76f4aca050013c2cc2ea8ff9	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13486727	https://doi.org/10.5281/zenodo.13486727	hash://md5/227956d1913ee55e460af32b7a18de13
Storz | Cheviron | McClelland | Scott	2019-05-23	Evolution of physiological performance capacities and environmental adaptation: insights from high-elevation deer mice (Peromyscus maniculatus)	Journal of Mammalogy	journalArticle	100	3	910-922	10.1093/jmammal/gyy173	https://www.zotero.org/groups/bat_literature_project/items/3AK47P2L	https://api.zotero.org/groups/5435545/items/237S9QYH	hash://md5/bf869b8c764dbd8fed8c892d698c8387	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.14815572	https://doi.org/10.5281/zenodo.14815572	hash://md5/227956d1913ee55e460af32b7a18de13
Laurance | Koster | Grooten | Anderson | Zuidema | Zwick | Zagt | Lynam | Linkie | Anten	09/2012	Making conservation research more relevant for conservation practitioners	Biological Conservation	journalArticle	153		164-168	10.1016/j.biocon.2012.05.012	https://www.zotero.org/groups/bat_literature_project/items/UVLUE4SK	https://api.zotero.org/groups/5435545/items/2387N9HX	hash://md5/65f1937b228fc0fdfc59d252c5df7ce6	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13512924	https://doi.org/10.5281/zenodo.13512924	hash://md5/227956d1913ee55e460af32b7a18de13
Funk | Piot	2014-09-19	Mapping Ebola in wild animals for better disease control	eLife	journalArticle	3		e04565	10.7554/eLife.04565	https://www.zotero.org/groups/bat_literature_project/items/L6Z2HZPQ	https://api.zotero.org/groups/5435545/items/23B4LATI	hash://md5/f64e209d1165d8abe888918ff9143515	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.14819438	https://doi.org/10.5281/zenodo.14819438	hash://md5/227956d1913ee55e460af32b7a18de13
Ingala | Simmons | Wultsch | Krampis | Provost | Perkins	06/2021	Molecular diet analysis of neotropical bats based on fecal DNA metabarcoding	Ecology and Evolution	journalArticle	11	12	7474-7491	10.1002/ece3.7579	https://www.zotero.org/groups/bat_literature_project/items/N87Q2T5B	https://api.zotero.org/groups/5435545/items/23D2ZZFE	hash://md5/ac30faa59d35ddb3db9cb4f75c555cf6	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13520601	https://doi.org/10.5281/zenodo.13520601	hash://md5/227956d1913ee55e460af32b7a18de13
Bogdanowicz | Juste | Owen | Sztencel	06/2005	Geometric morphometrics and cladistics: testing evolutionary relationships in mega- and microbats	Acta Chiropterologica	journalArticle	7	1	39-49	10.3161/1733-5329(2005)7[39:GMACTE]2.0.CO;2	https://www.zotero.org/groups/bat_literature_project/items/65UY2A56	https://api.zotero.org/groups/5435545/items/23DRXWFF	hash://md5/c56c62bcae802d20fe1464dc70a75225	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13520466	https://doi.org/10.5281/zenodo.13520466	hash://md5/227956d1913ee55e460af32b7a18de13
Uchikawa	1982	Mites of the genera Calcarmyobia and Pteracarus (Trombidiformes, Myobiidae) parasitic on Miniopterus (Chiroptera)	Annotationes Zoologicae Japonenses	journalArticle	55	1	32-45		https://www.zotero.org/groups/bat_literature_project/items/G74RJJJA	https://api.zotero.org/groups/5435545/items/23F2E6RX	hash://md5/0af41b15fd5967c9ea58cd0e3c5f82c2	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18028009	https://doi.org/10.5281/zenodo.18028009	hash://md5/227956d1913ee55e460af32b7a18de13
Durán | Saldaña-Vázquez | Graciolli | Peinado	2019-2-14	Specialization and Modularity of a Bat Fly Antagonistic Ecological Network in a Dry Tropical Forest in Northern Colombia	Acta Chiropterologica	journalArticle	20	2	503	10.3161/15081109ACC2018.20.2.020	https://www.zotero.org/groups/bat_literature_project/items/EGM9QEGQ	https://api.zotero.org/groups/5435545/items/23F4NI27	hash://md5/eb38c84a79443c0eb245a37a924fb138	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13458323	https://doi.org/10.5281/zenodo.13458323	hash://md5/227956d1913ee55e460af32b7a18de13
Freeman | Lemen	09/2009	Puncture‐Resistance of Gloves for Handling Bats	The Journal of Wildlife Management	journalArticle	73	7	1251-1254	10.2193/2008-295	https://www.zotero.org/groups/bat_literature_project/items/9TETLB57	https://api.zotero.org/groups/5435545/items/23GBSN8I	hash://md5/fb616658a21e04f64b9eda190153bd9b	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13490038	https://doi.org/10.5281/zenodo.13490038	hash://md5/227956d1913ee55e460af32b7a18de13
Ling | Tempero | Schamhart	2023-08-13	Using faecal DNA metabarcoding to determine the diet of the long-tailed bat, Chalinolobus tuberculatus	New Zealand Journal of Zoology	journalArticle			1-8	10.1080/03014223.2023.2240711	https://www.zotero.org/groups/bat_literature_project/items/37GB2IQZ	https://api.zotero.org/groups/5435545/items/23GSMTYE	hash://md5/f2f03125fd7dd8e1dbf14242946ced2e	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13448839	https://doi.org/10.5281/zenodo.13448839	hash://md5/227956d1913ee55e460af32b7a18de13
Subudhi | Rapin | Misra | Subudhi | Rapin | Misra	2019-02-23	Immune System Modulation and Viral Persistence in Bats: Understanding Viral Spillover	Viruses	journalArticle	11	2	192	10.3390/v11020192	https://www.zotero.org/groups/bat_literature_project/items/NLZIKVTL	https://api.zotero.org/groups/5435545/items/23JNGXAI	hash://md5/4f820a8454ccdabad0eec5bc1358ebbb	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13505955	https://doi.org/10.5281/zenodo.13505955	hash://md5/227956d1913ee55e460af32b7a18de13
Ripperger | Rehse | Wacker | Kalko | Schulz | Rodriguez-Herrera | Ayasse | Vincenot	2019-8-15	Nocturnal scent in a ‘bird-fig’: A cue to attract bats as additional dispersers?	PLOS ONE	journalArticle	14	8	e0220461	10.1371/journal.pone.0220461	https://www.zotero.org/groups/bat_literature_project/items/Q4GQZ2F5	https://api.zotero.org/groups/5435545/items/23LFMGAF	hash://md5/7661a3941657c323fe74f59832c6a3fd	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13433270	https://doi.org/10.5281/zenodo.13433270	hash://md5/227956d1913ee55e460af32b7a18de13
Baker | Baker	2/1986	The occurrence and significance of amino acids in floral nectar	Plant Systematics and Evolution	journalArticle	151	3-4	175-186	10.1007/BF02430273	https://www.zotero.org/groups/bat_literature_project/items/JD7BZ77S	https://api.zotero.org/groups/5435545/items/23LJPYD5	hash://md5/16d1273dceadbea4e0e4fa1814b6c9fb	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13411491	https://doi.org/10.5281/zenodo.13411491	hash://md5/227956d1913ee55e460af32b7a18de13
Goh | Dunker | Foster | Uversky	2020-11-06	Shell Disorder Analysis Suggests That Pangolins Offered a Window for a Silent Spread of an Attenuated SARS-CoV-2 Precursor among Humans	Journal of Proteome Research	journalArticle	19	11	4543-4552	10.1021/acs.jproteome.0c00460	https://www.zotero.org/groups/bat_literature_project/items/XK7Y5MUY	https://api.zotero.org/groups/5435545/items/23PEQYB6	hash://md5/58e57836f89c90bd7129544710676f72	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13533327	https://doi.org/10.5281/zenodo.13533327	hash://md5/227956d1913ee55e460af32b7a18de13
Bahlman | Kelt	01/2007	Use of Olfaction during Prey Location by the Common Vampire Bat (Desmodus rotundus)	Biotropica	journalArticle	39	1	147-149	10.1111/j.1744-7429.2006.00218.x	https://www.zotero.org/groups/bat_literature_project/items/ZXL94KIH	https://api.zotero.org/groups/5435545/items/23PEXFGS	hash://md5/5a801dfdec8993ca2a93d73efbe4ef6a	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13408185	https://doi.org/10.5281/zenodo.13408185	hash://md5/227956d1913ee55e460af32b7a18de13
Woods | Sergile | Rodríguez-Durán | Kunz	2001-06-27	Biogeography of West Indian Bats: An Ecological Perspective		bookSection			355-368		https://www.zotero.org/groups/bat_literature_project/items/2J5XPNDA	https://api.zotero.org/groups/5435545/items/23RRLDQB	hash://md5/94c3636ff0ecaa6eca1aa3e243a78838	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.14817102	https://doi.org/10.5281/zenodo.14817102	hash://md5/227956d1913ee55e460af32b7a18de13
Moreno | Yantén | Patiño Quíroz | Ramírez | Hernández | Sánchez	2020-10-04	Colección Mastozoológica, Museo de Historia Natural UNILLANOS MHNU-M	Mammalogy Notes	journalArticle	6	2	175	10.47603/mano.v6n2.175	https://www.zotero.org/groups/bat_literature_project/items/MZV27KMD	https://api.zotero.org/groups/5435545/items/23SK46JM	hash://md5/befa95599c5548bfc800d785bce7cc45	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13480977	https://doi.org/10.5281/zenodo.13480977	hash://md5/227956d1913ee55e460af32b7a18de13
Dzuyev | Khashkulova | Kanukova | Baragunova | Sabanova | Cheprakova | Dzagurov | Dzuyev	2021-07-19	Features of the chromosome set of representatives of smoothnosed bats of the North Caucasus	South of Russia: ecology, development	journalArticle	16	2	26-38	10.18470/1992-1098-2021-2-26-38	https://www.zotero.org/groups/bat_literature_project/items/Q8DH4HQP	https://api.zotero.org/groups/5435545/items/23ST6479	hash://md5/d3acec995f416fee0c52f2df2b6366df	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13488648	https://doi.org/10.5281/zenodo.13488648	hash://md5/227956d1913ee55e460af32b7a18de13
Krasnov | Korine | Burdelova | Khokhlova | Pinshow	7/2007	Between-host phylogenetic distance and feeding efficiency in hematophagous ectoparasites: rodent fleas and a bat host	Parasitology Research	journalArticle	101	2	365-371	10.1007/s00436-007-0480-4	https://www.zotero.org/groups/bat_literature_project/items/9WTUZB4F	https://api.zotero.org/groups/5435545/items/2432A4VE	hash://md5/d12f0c4c6fca7fd9574cc8b43c5eff32	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13448253	https://doi.org/10.5281/zenodo.13448253	hash://md5/227956d1913ee55e460af32b7a18de13
Czaplewski | Morgan | Naeher	06/2003	Molossid Bats from the Late Tertiary of Florida with a Review of the Tertiary Molossidae of North America	Acta Chiropterologica	journalArticle	5	1	61-74	10.3161/001.005.0105	https://www.zotero.org/groups/bat_literature_project/items/G49GFJFP	https://api.zotero.org/groups/5435545/items/244VM9GW	hash://md5/97be49afb19ac9313b74735771e84115	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13457574	https://doi.org/10.5281/zenodo.13457574	hash://md5/227956d1913ee55e460af32b7a18de13
Cayunda | Ibanez | Bastian	2004	ROOSTING BEHAVIOR AND ROOST SITE.CHARACTERIZATION OF PTEROPUS VAMPYRUS IN MALAGOS WATERSHED, DAVAO CITY	Agham Mindanaw	journalArticle	2		61-72		https://www.zotero.org/groups/bat_literature_project/items/NW6AZP3D	https://api.zotero.org/groups/5435545/items/247BHRR2	hash://md5/cd0951051fd50af724e13bc6d85ae396	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13518201	https://doi.org/10.5281/zenodo.13518201	hash://md5/227956d1913ee55e460af32b7a18de13
Tavares | Gardner | Mcdonough | Maldonado | Gutiérrez | Velazco | Garbino	2022-12-31	Historical DNA of rare yellow-eared bats Vampyressa Thomas, 1900 (Chiroptera, Phyllostomidae) clarifies phylogeny and species boundaries within the genus	Systematics and Biodiversity	journalArticle	20	1	1-13	10.1080/14772000.2022.2117247	https://www.zotero.org/groups/bat_literature_project/items/V627UYVC	https://api.zotero.org/groups/5435545/items/247GF5M8	hash://md5/0ee96aa9639bc0eb56524c3ffd7c84b3	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13421942	https://doi.org/10.5281/zenodo.13421942	hash://md5/227956d1913ee55e460af32b7a18de13
Peters	1881	Über die Chiropterengattung _Mormopterus_ und die dahin gehörigen Arten	Monatsberichte der Königlichen Preussischen Akademie der Wissenschaften zu Berlin	journalArticle	1881		482-485		https://www.zotero.org/groups/bat_literature_project/items/CQ4TS6RG	https://api.zotero.org/groups/5435545/items/24BNGN4V	hash://md5/ebb711ddc0bc4d0bc0141d01b11a3274	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.18027894	https://doi.org/10.5281/zenodo.18027894	hash://md5/227956d1913ee55e460af32b7a18de13
Thong | Puechmaille | Denzinger | Bates | Dietz | Csorba | Soisook | Teeling | Matsumura | Furey | Schnitzler	04/2012	Systematics of the Hipposideros turpis complex and a description of a new subspecies from Vietnam	Mammal Review	journalArticle	42	2	166-192	10.1111/j.1365-2907.2011.00202.x	https://www.zotero.org/groups/bat_literature_project/items/VKN8YTPR	https://api.zotero.org/groups/5435545/items/24DE7YXK	hash://md5/511698fe394b77fdef5e686a193bf8e4	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13421111	https://doi.org/10.5281/zenodo.13421111	hash://md5/227956d1913ee55e460af32b7a18de13
Wilkins | Aherne | Bleasdale	12/2016	Vegetation community change points suggest that critical loads of nutrient nitrogen may be too high	Atmospheric Environment	journalArticle	146		324-331	10.1016/j.atmosenv.2016.07.016	https://www.zotero.org/groups/bat_literature_project/items/B8JYV8LI	https://api.zotero.org/groups/5435545/items/24FZMS7R	hash://md5/6d475bd99eaf73ecb1d4149e71336e7a	hash://md5/1cda41b660daf15c156f1e4cabf8c6f5	10.5281/zenodo.13508896	https://doi.org/10.5281/zenodo.13508896	hash://md5/227956d1913ee55e460af32b7a18de13
